id,modele,typeVehicule,typeEnergie,capaciteKg,kilometrage,statut,zone,chauffeurAssigne,tarifBase
V001,Ford Transit T250,CAMIONNETTE,ESSENCE,900,42000,DISPONIBLE,MONTREAL,,85.0
V002,Honda Odyssey,MINIVAN,ELECTRIQUE,450,12000,DISPONIBLE,RIVE_NORD,,70.0
V003,Camion Cube 20 pieds,CUBE,DIESEL,2200,60500,DISPONIBLE,RIVE_SUD,,120.0
V004,Dodge Grand Caravan,MINIVAN,ESSENCE,300,5000,DISPONIBLE,MONTREAL,,60.0
V005,BrightDrop Zevo 400,CAMIONNETTE,ELECTRIQUE,650,10000,DISPONIBLE,RIVE_NORD,,90.0
V006,Camion Cube 16 pieds,CUBE,DIESEL,1800,30000,DISPONIBLE,RIVE_SUD,,100.0
V007,Toyota Sienna,MINIVAN,ESSENCE,350,8000,DISPONIBLE,MONTREAL,,65.0
V008,Ford Transit T350,CAMIONNETTE,ESSENCE,950,abc,DISPONIBLE,RIVE_NORD,,88.0
V009,Camion Cube 24 pieds,CUBE,DIESEL,2400,15000,DISPONIBLE,RIVE_SUD,,130.0
V010,Honda Odyssey,MINIVAN,ELECTRIQUE,400,20000,DISPONIBLE,MONTREAL,,70.0
V011,BrightDrop Zevo 600,CAMIONNETTE,ELECTRIQUE,700,25000,QUELQUE_PART,RIVE_NORD,,95.0
V012,Dodge Grand Caravan,MINIVAN,DIESEL,320,18000,DISPONIBLE,RIVE_SUD,,62.0
