id,modele,typeVehicule,typeEnergie,capaciteKg,kilometrage,statut,zone,chauffeurAssigne,tarifBase
V001,Ford Transit T250,CAMIONNETTE,ESSENCE,1200,45000,DISPONIBLE,MONTREAL,Karim,85.00
V002,Ford Transit T350,CAMIONNETTE,DIESEL,1600,62000,DISPONIBLE,RIVE_NORD,Sami,95.00
V003,BrightDrop Zevo 600,CAMIONNETTE,ELECTRIQUE,1400,15200,DISPONIBLE,MONTREAL,,110.00
V004,BrightDrop Zevo 400,CAMIONNETTE,ELECTRIQUE,900,8000,DISPONIBLE,RIVE_SUD,Nadia,95.00
V005,Ford Transit T250,CAMIONNETTE,ESSENCE,1200,29000,EN_ENTRETIEN,RIVE_SUD,,85.00
V006,Dodge Grand Caravan,MINIVAN,ESSENCE,450,71000,DISPONIBLE,MONTREAL,Yacine,60.00
V007,Dodge Grand Caravan,MINIVAN,ESSENCE,450,15100,DISPONIBLE,RIVE_NORD,,60.00
V008,Honda Odyssey,MINIVAN,ESSENCE,480,52000,DISPONIBLE,RIVE_SUD,Marc,62.00
V009,Honda Odyssey,MINIVAN,ESSENCE,480,3000,DISPONIBLE,MONTREAL,,62.00
V010,Toyota Sienna,MINIVAN,ESSENCE,470,44500,DISPONIBLE,RIVE_NORD,Fatima,63.00
V011,Toyota Sienna,MINIVAN,ESSENCE,470,-1200,DISPONIBLE,MONTREAL,,63.00
V012,Camion Cube 16 pieds,CUBE,DIESEL,3500,88000,DISPONIBLE,RIVE_NORD,Hassan,150.00
V013,Camion Cube 20 pieds,CUBE,DIESEL,4500,102000,EN_ENTRETIEN,MONTREAL,,175.00
V014,Camion Cube 16 pieds,CUBE,DIESEL,3500,15050,DISPONIBLE,RIVE_SUD,Omar,150.00
V015,Ford Transit T350,CAMIONNETTE,DIESEL,1600,33000,DISPONIBLE,RIVE_SUD,,95.00
V016,Camion Cube 24 pieds,CAMION_VOLANT,DIESEL,5500,50000,DISPONIBLE,MONTREAL,,190.00
